Image,Hits,Misses,False Alarms,Correct Rejections,Hit Rate,False Alarm Rate
targetImages\sun_bisnnysqxgpavrkh.jpg,24,2,0,26,92.31%,0.00
targetImages\sun_bzfcixnmhtzpmwij.jpg,24,2,1,25,92.31%,3.85
targetImages\sun_bacfwopdcsewxkne.jpg,25,4,0,29,86.21%,0.00
targetImages\sun_ahbwwdffoiigyxqx.jpg,23,4,0,27,85.19%,0.00
targetImages\sun_byziwbrwhhpxaydu.jpg,24,5,0,29,82.76%,0.00
targetImages\sun_aewtvpwulyxhqvuv.jpg,23,5,1,27,82.14%,3.57
targetImages\sun_agenkchqfjxvsppn.jpg,23,5,1,27,82.14%,3.57
targetImages\sun_ailjxpgyepocjdos.jpg,23,5,0,28,82.14%,0.00
targetImages\sun_btjevcvrxjpeyoxz.jpg,22,6,0,28,78.57%,0.00
targetImages\sun_burokageiugamrul.jpg,22,6,1,27,78.57%,3.57
targetImages\sun_ayuqdxlbdhbbgypd.jpg,21,6,1,26,77.78%,3.70
targetImages\sun_amssqaxrfmufhwxv.jpg,20,6,0,26,76.92%,0.00
targetImages\sun_aiyjrnbytpirechl.jpg,22,7,0,29,75.86%,0.00
targetImages\sun_bgshkoltnrmilxns.jpg,22,7,0,29,75.86%,0.00
targetImages\sun_amkeeuvicewppjqo.jpg,21,7,1,27,75.00%,3.57
targetImages\sun_arsolpsoaipmhdio.jpg,21,7,0,28,75.00%,0.00
targetImages\sun_aywhxcvpafxkujrj.jpg,21,7,0,28,75.00%,0.00
targetImages\sun_aplqnvinpntdexdw.jpg,20,7,0,27,74.07%,0.00
targetImages\sun_bpkiszwjhbnsrmtr.jpg,20,7,0,27,74.07%,0.00
targetImages\sun_bwidvgzwofvfteaj.jpg,20,7,1,26,74.07%,3.70
targetImages\sun_bukzvwbkvedjexbe.jpg,20,8,1,27,71.43%,3.57
targetImages\sun_buubpayscjcxyypt.jpg,20,8,0,28,71.43%,0.00
targetImages\sun_byuhjpweygtwpwbj.jpg,20,8,1,27,71.43%,3.57
targetImages\sun_bkxzmjorpemztasj.jpg,19,8,0,27,70.37%,0.00
targetImages\sun_bxxtkmyydusifqkv.jpg,19,8,0,27,70.37%,0.00
targetImages\sun_agoqtmhicqrakxqs.jpg,18,9,0,27,66.67%,0.00
targetImages\sun_bzjdnotizomfsdad.jpg,17,11,0,28,60.71%,0.00
targetImages\sun_cesisdcqpsijbubk.jpg,17,11,0,28,60.71%,0.00
